date (yyyy-mm-dd HH:MM:SS),surface oxygen concentration [mg/L]
15.06.2010 12:00,9.7
13.07.2010 12:00,10.0
17.08.2010 12:00,9.9
14.09.2010 12:00,10.0
19.10.2010 12:00,10.1
16.11.2010 12:00,10.4
14.12.2010 12:00,10.8
11.01.2011 12:00,10.7
15.02.2011 12:00,10.9
15.03.2011 12:00,10.9
19.04.2011 12:00,11.0
17.05.2011 12:00,10.4
15.06.2011 12:00,10.4
12.07.2011 12:00,9.9
16.08.2011 12:00,9.5
13.09.2011 12:00,9.6
15.11.2011 12:00,10.7
13.12.2011 12:00,11.0
17.01.2012 12:00,10.3
21.02.2012 12:00,10.7
13.03.2012 12:00,11.2
11.04.2012 12:00,11.0
08.05.2012 12:00,10.2
12.06.2012 12:00,10.0
10.07.2012 12:00,9.1
14.08.2012 12:00,9.1
11.09.2012 12:00,9.1
16.10.2012 12:00,10.1
13.11.2012 12:00,10.4
11.12.2012 12:00,10.6
22.01.2013 12:00,11.0
19.02.2013 12:00,10.8
19.03.2013 12:00,11.0
16.04.2013 12:00,11.1
14.05.2013 12:00,10.7
11.06.2013 12:00,10.6
16.07.2013 12:00,9.7
20.08.2013 12:00,9.4
17.09.2013 12:00,10.0
15.10.2013 12:00,10.1
19.11.2013 12:00,10.3
10.12.2013 12:00,10.7
21.01.2014 12:00,11.2
18.02.2014 12:00,11.2
11.03.2014 12:00,11.3
15.04.2014 12:00,11.4
12.05.2014 12:00,10.8
17.06.2014 12:00,10.0
15.07.2014 12:00,10.0
19.08.2014 12:00,9.8
14.10.2014 12:00,10.0
11.11.2014 12:00,10.2
24.11.2014 12:00,10.4
09.12.2014 12:00,10.4
13.01.2015 12:00,10.4
10.02.2015 12:00,10.5
10.03.2015 12:00,11.0
08.04.2015 12:00,11.2
19.05.2015 12:00,9.6
16.06.2015 12:00,10.0
14.07.2015 12:00,10.0
11.08.2015 12:00,9.4
08.09.2015 12:00,9.8
13.10.2015 12:00,10.0
17.11.2015 12:00,10.3
15.12.2015 12:00,10.5
12.01.2016 12:00,10.7
16.02.2016 12:00,10.8
15.03.2016 12:00,11.2
12.04.2016 12:00,11.4
10.05.2016 12:00,11.0
07.06.2016 12:00,10.1
05.07.2016 12:00,9.8
09.08.2016 12:00,9.9
06.09.2016 12:00,8.8
11.10.2016 12:00,10.2
08.11.2016 12:00,10.3
13.12.2016 12:00,10.8
26.01.2017 12:00,10.5
14.02.2017 12:00,10.8
14.03.2017 12:00,11.4
11.04.2017 12:00,11.4
16.05.2017 12:00,11.0
13.06.2017 12:00,9.5
11.07.2017 12:00,9.5
15.08.2017 12:00,9.7
12.09.2017 12:00,10.1
10.10.2017 12:00,10.2
06.11.2017 12:00,10.0
12.12.2017 12:00,10.4
15.01.2018 12:00,10.9
06.02.2018 12:00,10.6
13.03.2018 12:00,11.0
10.04.2018 12:00,11.3
15.05.2018 12:00,10.8
12.06.2018 12:00,10.1
10.07.2018 12:00,9.1
14.08.2018 12:00,9.5
09.10.2018 12:00,9.9
06.11.2018 12:00,10.0
11.12.2018 12:00,10.5
15.01.2019 12:00,10.7
12.02.2019 12:00,10.9
12.03.2019 12:00,11.0
09.04.2019 12:00,11.4
14.05.2019 12:00,11.2
18.06.2019 12:00,10.0
16.07.2019 12:00,9.9
13.08.2019 12:00,9.8
08.10.2019 12:00,10.0
10.12.2019 12:00,10.4
14.01.2020 12:00,11.0
13.02.2020 12:00,11.0
10.03.2020 12:00,11.0
07.04.2020 12:00,11.2
12.05.2020 12:00,10.6
15.06.2020 12:00,10.4
14.07.2020 12:00,9.4
11.08.2020 12:00,9.6
08.09.2020 12:00,9.9
12.10.2020 12:00,10.0
10.11.2020 12:00,10.4
08.12.2020 12:00,10.5
11.01.2021 12:00,10.8
08.02.2021 12:00,10.5
08.03.2021 12:00,11.0
12.04.2021 12:00,11.2
03.05.2021 12:00,11.0
14.06.2021 12:00,10.0
12.07.2021 12:00,10.2
09.08.2021 12:00,10.2
06.09.2021 12:00,9.8
04.10.2021 12:00,10.2
06.11.2021 12:00,10.4
08.11.2021 12:00,10.5
13.12.2021 12:00,11.0
10.01.2022 12:00,11.0
14.02.2022 12:00,10.9
14.03.2022 12:00,10.9
11.04.2022 12:00,11.5
09.05.2022 12:00,10.8
13.06.2022 12:00,9.9
11.07.2022 12:00,9.4
08.08.2022 12:00,9.9
13.09.2022 12:00,9.6
10.10.2022 12:00,9.9
07.11.2022 12:00,10.4
13.12.2022 12:00,10.5
16.01.2023 12:00,10.9
06.02.2023 12:00,11.3
06.03.2023 12:00,11.6
03.04.2023 12:00,11.6
08.05.2023 12:00,10.7
12.06.2023 12:00,10.2
10.07.2023 12:00,9.4
14.08.2023 12:00,9.5
11.09.2023 12:00,9.6
09.10.2023 12:00,10.1
13.11.2023 12:00,10.2
11.12.2023 12:00,10.8
